firearms in civilian possession,Registered firearms,Unregistered firearms,Gun Death Rate,Suicide Rate by Firearm,Unintentional Deaths by Firearms, Police Killing (per 10M),The regulation of guns
47000.0,12500.0,34500.0,0.3,0.4,0.15,0.0,0.0
0.0,0.0,0.0,0.04,0.17,0.03,0.5,1.0
33000.0,0.0,0.0,19.29,2.37,0.68,0.0,0.0
20000.0,795.0,19205.0,4.12,7.12,0.21,28.54,0.0
3000.0,0.0,0.0,4.02,4.74,2.33,35.1,1.0
79000.0,39530.0,39470.0,0.08,0.05,0.04,0.0,0.0
1000.0,0.0,0.0,0.17,1.04,0.37,0.0,1.0
0.0,0.0,0.0,32.75,2.5,1.99,1829.9,1.0
0.0,0.0,0.0,0.12,0.15,0.24,0.0,1.0
82000.0,41102.0,40898.0,0.83,0.29,0.44,0.0,0.0
0.0,0.0,0.0,3.71,0.5,0.62,0.0,0.0
10000.0,5000.0,5000.0,0.88,0.6,0.3,0.0,1.0
